mass,coord_x,coord_y,coord_z,velocity_x,velocity_y,velocity_z
0.7416649,1.1621091,-1.1204873,0.2863782,0.9990329,-0.3717114,-0.4487255
0.4332718,0.6876141,-0.4708431,-0.5679631,-0.4713590,-0.9903944,0.0362563
-0.0200874,0.2945374,1.0714191,-0.3935694,0.7819570,0.9190445,0.4142460
-0.3968871,0.1263045,-1.1838720,-0.3509675,0.6696440,-0.4210197,0.3263490
0.3801640,1.2102383,0.4651469,-0.0618863,0.5818880,0.3536760,-0.3674304
0.5809208,1.4345962,-0.2120568,0.2282430,0.9052585,-0.7918020,0.4281007
-0.5661005,-0.7215159,-0.9975164,0.8203725,0.1213626,-0.9237459,0.8131195
-0.0966805,0.8886898,0.3543681,1.0025785,-0.2132189,0.2540048,0.9922898
-0.5435748,1.2091262,0.1221129,0.8157991,0.7522805,-0.3930523,-0.0415818
0.3341684,1.4319175,0.4784036,0.3797300,0.9425882,-0.2251681,0.9292818
0.8478467,0.0834465,0.7682523,-0.3704750,0.2008334,0.8217396,0.6955583
-0.6778041,1.3446410,0.3766998,0.0914892,0.8932922,-0.2639566,-0.2680522
-0.3199267,1.4015647,-0.7543243,0.1230422,0.8230333,-0.9571235,-0.0269123
0.5753139,-0.5449519,1.1927531,0.3217682,-0.3895521,0.5224937,0.8245716
-0.4469639,-0.5624962,0.8094705,-0.7578027,0.2803555,0.1112360,-0.3173710
-0.5188111,-0.1515399,-0.1783799,-0.6821645,-0.1690308,0.8868653,-0.9710997
-0.2757387,-0.5706127,0.0033908,0.1747510,-0.3870431,0.4850857,-0.4591668
-0.5640097,0.1168555,0.7366337,-1.0283031,-0.8222135,0.4454268,-0.0792135
-0.2117657,0.1005436,-0.5050364,0.7123474,0.2652462,-0.5007883,0.7421532
-0.4543985,0.3821588,-0.6737323,0.4418783,-0.4565768,-0.1970304,0.8301752
0.3743923,-0.1537932,0.6690379,-0.6498535,0.3127437,-0.3800765,0.5029883
0.9257005,-0.5785049,-0.6773062,-0.9518117,0.6329715,0.5577425,-0.6270051
0.8107580,0.4887144,-0.1866485,0.0691238,0.9710898,-0.9608604,0.9402627
0.2363359,-0.8872497,0.2360149,0.6863018,-0.8512011,-0.8928019,-0.1912722
-0.3077779,0.2101691,-0.6121071,-1.3507497,0.6000026,-0.5020216,-0.8347320
-0.0872537,0.2293575,1.0242954,-0.0614844,0.2229114,0.7120779,0.2001376
